Date,Close,High,Low,Open,Volume,RSI_1,RSI_2,RSI_3,RSI_4,RSI_5,RSI_6,RSI_7,RSI_8,RSI_9,RSI_10,RSI_11,RSI_12,RSI_13,RSI_14,RSI_15,RSI_16,RSI_17,RSI_18,RSI_19,RSI_20,SMA_50,SMA_200,Trend
1997-01-02,45.111934661865234,45.321403332730796,44.33118779772996,45.321403332730796,2031900,,,,,,,,,,,,,,,,,,,,,,,0
1997-01-03,45.75939178466797,45.7784343946491,45.14050696028107,45.321411755101856,2123200,100.0,100.0,,,,,,,,,,,,,,,,,,,,,0
1997-01-06,45.35947036743164,45.968833529378664,45.28329997218826,45.75936494245938,1374100,0.0,61.81691700295742,61.81691700295742,,,,,,,,,,,,,,,,,,,,0
1997-01-07,45.91172409057617,45.98789451627601,45.16906244000277,45.35948850425236,939000,100.0,57.99917470263254,74.99916534313937,74.99916534313937,,,,,,,,,,,,,,,,,,,0
1997-01-08,45.51178741455078,46.178278025224124,45.51178741455078,46.15923543634774,1802200,0.0,57.99824526963956,40.84379090868054,59.99847379214957,59.99847379214957,,,,,,,,,,,,,,,,,,0
1997-01-09,45.89264678955078,46.23541344607025,45.66413568520447,45.740306053319905,1415700,100.0,48.77834288478169,69.99836887002756,53.844697636741444,66.39856413708003,66.39856413708003,,,,,,,,,,,,,,,,,0
1997-01-10,46.38778305053711,46.46395346605523,45.24522681776526,45.24522681776526,2369500,100.0,100.0,68.65533757078194,78.12385236871098,64.10145783576021,72.184311207569,72.184311207569,,,,,,,,,,,,,,,,0
1997-01-13,46.32112503051758,46.61628533389806,46.092613827900436,46.61628533389806,1364600,0.0,88.13479911184143,92.9286838708111,65.24668136564077,75.37556218568938,62.23944783470948,70.54892737583724,70.54892737583724,,,,,,,,,,,,,,,0
1997-01-14,46.90193176269531,47.159006906339805,46.61629271420143,46.73054833359898,2111200,100.0,89.70476465424294,94.16611579629148,95.62456493542264,75.74111426457785,81.1526448549024,69.86630654246272,75.40423218893368,75.40423218893369,,,,,,,,,,,,,,0
1997-01-15,46.78767776489258,47.04475291744693,46.54012391428468,46.749592557106745,1583900,0.0,83.56201222791785,76.24949919871794,85.60597553091718,88.95338409613409,71.4942020900183,77.57258501637875,67.19641729344893,73.03564162048553,73.03564162048553,,,,,,,,,,,,,0
1997-01-16,46.97809600830078,47.10187291306526,46.61628659437386,46.94001080683479,1308400,100.0,62.49937396704563,87.09692706022238,80.99937098602948,87.49980231632551,90.10399929888113,73.93040277361641,79.10858961781997,69.16054322871311,74.37704864118221,74.37704864118221,,,,,,,,,,,,0
1997-01-17,47.26374816894531,47.37800380513132,46.98763038149579,47.04475819958879,1604000,100.0,100.0,80.64555735056543,90.24413283171283,85.38426215564027,89.5603113525698,91.44132275552411,76.89287768397635,81.05500997229159,71.70226863490079,76.15643643506252,76.15643643506252,,,,,,,,,,,0
1997-01-20,47.32086944580078,47.58746589338276,47.20661382540851,47.377997255996924,1889900,100.0,100.0,100.0,82.35311446819543,90.69784054239562,86.02899370457766,89.89344698987746,91.66652023405788,77.40629233556551,81.40151288443522,72.16108054027013,76.48301189556055,76.48301189556054,,,,,,,,,,0
1997-01-21,47.701698303222656,47.86356035335335,46.98760102323429,47.149463073364984,2785800,100.0,100.0,100.0,100.0,88.88876522874654,92.89942652040843,89.20404748625607,91.66640308426554,92.91023467609078,80.32136455219492,83.42291458227413,74.87682851754498,78.45078815888398,78.45078815888398,,,,,,,,,0
1997-01-22,48.04448318481445,48.04448318481445,47.45416254322537,47.72075896200754,1201600,100.0,100.0,100.0,100.0,100.0,91.66673622414201,94.14642249887623,91.03741136628214,92.80284577830184,93.7498434989806,82.36890676708097,84.90011820799847,76.90475185249396,79.96010775116216,79.96010775116216,,,,,,,,0
1997-01-23,47.37798309326172,48.558624151052,46.863832955191754,48.17777219692611,2601100,0.0,33.96314130426566,52.05427952032051,53.946660902937396,61.53817366917181,65.34611440687212,61.68190004755361,70.18163169864319,68.43931276398958,73.35316555910083,76.20310658810926,68.50890025531112,72.36227200998047,66.47209359384075,70.37597544034163,70.37597544034163,,,,,,,0
1997-01-24,46.76864242553711,47.47321887901629,46.76864242553711,47.4541762721655,2176000,0.0,0.0,21.17752696712097,36.19055795629072,37.96286163166203,45.52875321049965,49.62420057898717,47.482161618403474,56.93243543499535,55.780467300758,61.55819185721692,65.06890101396314,59.37486436586661,63.75459285725988,59.13767033252445,63.42566201519713,63.42566201519713,,,,,,0
1997-01-27,46.63534164428711,47.0638002751554,46.54012861520526,46.844810308267164,2108500,0.0,0.0,0.0,19.56616883357249,33.92858739842852,35.652010319424875,43.077148294539604,47.1429266436006,45.20556027403463,54.674440565313915,53.61118345052318,59.46638219497656,63.05346935193795,57.69217044330181,62.13762619847727,57.74385600693903,62.084335439016094,62.084335439016094,,,,,0
1997-01-28,46.76864242553711,47.435133665314716,46.311619861118174,47.30183541735919,4376000,100.0,50.0,15.21798774513006,8.642189037992594,25.253489976750345,37.81523922071669,39.344211150282355,45.985678962521696,49.659991877962305,47.7125577899777,56.40351873119567,55.34769669818294,60.79848920748287,64.16346336543941,58.85813792820616,63.07415267134506,58.71685739909368,62.86957016484344,62.86957016484344,,,,0
1997-01-29,47.22566604614258,47.22566604614258,46.67343043511914,46.84481390060917,1122700,100.0,100.0,81.5787531498097,44.28653603450201,29.52410387905705,39.8381451677261,48.25191674873466,49.315119241835696,54.03753911620702,56.72530376798826,54.80243061332356,61.446026232407625,60.42664332397854,64.76824651399852,67.51004927006872,62.409909423031195,65.96082320852963,61.737522879581185,65.331215026916,65.331215026916,,,0
