dim_model,num_heads,num_layers,learning_rate,batch_size,total_return,annualized_return,sharpe_ratio,max_drawdown,num_trades
64,8,2,0.001,64,0.8253683164883228,0.0981954356811845,1.3060738149511586,-0.05399442945911765,161
128,4,2,0.001,64,1.001593122646785,0.11406270706474175,1.2825622453097096,-0.06561090278434224,170
64,4,2,0.001,64,0.7383889402673904,0.08988146261192487,1.1213306781324095,-0.06610846598752715,159
64,8,1,0.001,64,0.7304557853060585,0.08910580474635377,1.0652390010664041,-0.06658407291276736,167
128,4,1,0.001,64,0.6494387109051685,0.0810075635087435,1.0356201307876192,-0.07220292060668432,153
64,4,1,0.001,64,0.6142113065443688,0.07738115373376342,0.8929605149791368,-0.07468399583612916,162
128,8,2,0.001,64,0.5939457837497313,0.07526457671238873,0.8899632473600647,-0.07712337201463007,172
128,8,1,0.001,64,0.5878843906333893,0.07462709719119553,0.8627606111185139,-0.08291004948469813,175
