Date,Close,High,Low,Open,Volume,RSI_1,RSI_2,RSI_3,RSI_4,RSI_5,RSI_6,RSI_7,RSI_8,RSI_9,RSI_10,RSI_11,RSI_12,RSI_13,RSI_14,RSI_15,RSI_16,RSI_17,RSI_18,RSI_19,RSI_20,SMA_50,SMA_200,Trend
2010-06-29,1.5926669836044312,1.6666669845581055,1.1693329811096191,1.2666670083999634,281494500,,,,,,,,,,,,,,,,,,,,,,,0
2010-06-30,1.5886670351028442,2.0280001163482666,1.553333044052124,1.7193330526351929,257806500,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0
2010-07-01,1.4639999866485596,1.7280000448226929,1.3513330221176147,1.6666669845581055,123282000,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0
2010-07-02,1.2799999713897705,1.5399999618530273,1.24733304977417,1.5333329439163208,77097000,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
2010-07-06,1.0740000009536743,1.3333330154418945,1.0553330183029175,1.3333330154418945,103003500,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0
2010-07-07,1.053333044052124,1.108667016029358,0.9986670017242432,1.0933330059051514,103825500,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
2010-07-08,1.1640000343322754,1.1679999828338623,1.0379999876022339,1.0759999752044678,115671000,100.0,84.2638119503426,32.80636322065247,21.22765914536184,17.13108702283371,17.02566645691975,17.02566645691975,,,,,,,,,,,,,,,,0
2010-07-09,1.159999966621399,1.1933330297470093,1.1033329963684082,1.1720000505447388,60759000,0.0,96.51158076176556,81.77322631564112,32.42190787817067,21.06602469217607,17.025663334436175,16.921532336472993,16.921532336472993,,,,,,,,,,,,,,,0
2010-07-12,1.136667013168335,1.2046669721603394,1.1333329677581787,1.196666955947876,33037500,0.0,0.0,80.1934645672012,69.74797050327011,30.34741527429449,20.170157773339653,16.43567529192231,16.338615555495707,16.338615555495707,,,,,,,,,,,,,,0
2010-07-13,1.2093329429626465,1.2426669597625732,1.1266670227050781,1.1593329906463623,40201500,100.0,75.69455741173753,72.66669209824856,87.0254199595517,79.25069090845379,41.920681761559,29.50639260277684,24.575460685619674,24.444393228593384,24.444393228593384,,,,,,,,,,,,,0
2010-07-14,1.3226670026779175,1.3433330059051514,1.184000015258789,1.1959999799728394,62928000,100.0,100.0,88.85366387017856,87.18762695110047,91.56388238163971,86.07351909675866,53.874123276345976,40.381152628993846,34.522895934531675,34.36294646494076,34.36294646494076,,,,,,,,,,,,0
2010-07-15,1.3259999752044678,1.4333330392837524,1.2666670083999634,1.329332947731018,56097000,100.0,100.0,100.0,89.02835303937115,87.38471966838439,91.64978068865655,86.2069000954017,54.15162563628508,40.650404665509676,34.775871182154546,34.61536927336503,34.61536927336502,,,,,,,,,,,0
2010-07-16,1.3760000467300415,1.4199999570846558,1.3366669416427612,1.3799999952316284,39319500,100.0,100.0,100.0,100.0,91.11687290834809,89.75009354225405,92.75626094090953,87.9397040614425,57.94702646821346,44.41624737924878,38.34914706179697,38.181807541653875,38.181807541653875,,,,,,,,,,0
2010-07-19,1.4606670141220093,1.4833329916000366,1.3946670293807983,1.4246670007705688,37297500,100.0,100.0,100.0,100.0,100.0,93.28225175381996,92.22019581330723,94.08376181158894,90.05525939859281,63.11715666223584,49.80903525064883,43.582890960387964,43.408793878138496,43.408793878138496,,,,,,,,,0
2010-07-20,1.3533329963684082,1.4566669464111328,1.3366669416427612,1.4566669464111328,27379500,0.0,44.09715258897034,55.64729376390358,56.249845117445915,70.074277285469,75.1158004937136,71.26094939647716,70.63947761422901,76.34656778170489,73.67224814402559,54.60634024926093,44.35373059019244,39.348200807046624,39.206236953882936,39.206236953882936,,,,,,,,0
2010-07-21,1.3480000495910645,1.3933329582214355,1.2999999523162842,1.3773330450057983,18787500,0.0,0.0,42.90542765095384,54.447442341097016,55.05312812240369,69.04762528565936,74.19842272567941,70.4347952282068,69.82758842169466,75.6380666863597,73.01229890210757,54.24293030902954,44.11367381357388,39.159154250564605,39.01854880037993,39.01854880037993,,,,,,,0
2010-07-22,1.399999976158142,1.4166669845581055,1.3580000400543213,1.3666670322418213,14367000,100.0,90.69827401583971,31.5788597333287,54.8128099355315,62.36077730142832,62.775260993306695,72.91665771166262,76.94401516380495,73.43750800355579,72.86821526336594,77.65958519367919,75.18020415341523,57.03124618012448,46.915168114319506,41.88180233637716,41.738127438114475,41.73812743811447,,,,,,0
2010-07-23,1.4193329811096191,1.4373329877853394,1.4040000438690186,1.4126670360565186,9804000,100.0,100.0,93.0439109341958,38.767919466304896,58.06443597556241,64.64428776000946,65.01024941033958,74.11941796012209,77.8214591783193,74.40400723064079,73.84805212908995,78.3281725176415,75.89996579290457,57.98317318857011,47.88641966506182,42.8329300435218,42.68838889620258,42.68838889620258,,,,,0
2010-07-26,1.3966670036315918,1.4333330392837524,1.3533329963684082,1.4333330392837524,13833000,0.0,46.03207942937104,75.88697813625527,71.81274422266387,34.51606707048008,53.546966561737754,60.35162825654802,60.735034156305865,70.45131913684135,74.49752310881519,71.35988607527113,70.84833600166124,75.67305786090506,73.40429634505095,56.51528853369293,46.88080538098762,42.02657595142439,41.88741687543921,41.88741687543921,,,,0
2010-07-27,1.3700000047683716,1.4119999408721924,1.3506669998168945,1.3940000534057617,9295500,0.0,0.0,28.155142601195806,59.11606085244399,56.61395234423415,30.571316757759774,49.05659670052512,55.97826632722245,56.37339219753924,66.57499690703722,70.93300097299672,68.08269304439479,67.61689645069163,72.77088914128967,70.67039589813398,54.8806969478149,45.750452235492496,41.11591306195854,40.982709892001026,40.98270989200103,,,0
2010-07-28,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,100.0,29.8236643065311,18.68096670681838,38.33298563509567,62.62622066365811,60.19428431550411,33.78727210892973,50.80965915260888,57.293464170391964,57.66543282719124,67.33871713963039,71.5122795874067,68.6937052133629,68.23266496666434,73.20756964093616,71.12739723108643,55.428557853301726,46.300699668521915,41.6532180272876,41.519501532882444,,,0
2010-07-29,1.3566670417785645,1.3919999599456787,1.3333330154418945,1.3846670389175415,9240000,0.0,31.48145081975356,18.084766397808565,13.281066642824413,29.299208535831156,52.766093440876574,51.02904036687527,30.692965446667785,47.26934017430883,53.79543981861252,54.17350634938149,64.14862230639642,68.53937573283764,65.94602818232272,65.5210184780066,70.73846558093621,68.79438155562985,54.001418069762664,45.30065408600198,40.84209937863998,,,0
2010-07-30,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,0.0,0.0,17.894277174199473,12.592205039901984,10.058924295664738,23.231986619560587,44.92738881564242,43.6619106414621,27.864988302725934,43.8810548284197,50.38635728603872,50.76678947804342,60.94890598280558,65.5209052183194,63.14699382887217,62.7571903280634,68.18981824912703,66.38150747730256,52.50336607114016,44.241714942540455,,,0
2010-08-02,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,100.0,70.50325654750648,55.68207910431081,59.585597838675184,49.356234704003036,43.071365474730655,48.64874497840336,59.35836317155115,58.11534279239786,40.8839797199306,52.08958625685031,56.91278566705349,57.200002670288086,65.10873915140061,68.80466619226235,66.54139040682881,66.16825462982072,70.71201364888495,68.98186175302516,55.45687005574206,,,0
2010-08-03,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,100.0,100.0,83.05746621948633,72.0430024828845,73.64859395294046,64.88079874447126,58.91894634844154,61.9047469662027,68.13417010019235,67.01038415664905,50.30952022427622,58.47345062117649,62.146207044303075,62.36806953669316,68.62170472420094,71.64308516242623,69.49443852653437,69.13896177721463,72.96491491641878,71.31386009591739,,,0
2010-08-04,1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,0.0,59.88347915765661,74.44445180303984,64.62999749891476,57.75861980373639,59.72596860906142,53.82703621532722,49.65831806215813,52.77773744688102,59.52378379174998,58.664293661345155,45.454468154067314,53.68167954396894,57.469990150603536,57.70060540802204,64.28571779462173,67.52703390603968,65.61488925963411,65.29790336808404,69.38921662295162,,,0
2010-08-05,1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095825,11943000,0.0,0.0,40.711215776963726,57.26496292541526,51.275368004269616,46.85314714462623,48.87886389724046,44.85586351277268,41.923064490726766,44.99083617053224,51.834087661809875,51.18110502296992,40.82906871293566,48.970714986883415,52.80558831423536,53.04082934091757,59.846549302945846,63.2605003056019,61.57934304197761,61.300066605899595,,,0
2010-08-06,1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,0.0,0.0,0.0,30.383312313372016,45.99548504651826,42.0501620919551,39.02916821609903,40.977428066772994,38.11183630137543,35.97360865626632,38.8976074625609,45.58202967667442,45.076300001736065,36.848019855274,44.79681912889344,48.61623625366659,48.85213282297675,55.75856332969551,59.283616730205814,57.804717304690094,,,0
2010-08-09,1.3066669702529907,1.3320000171661377,1.2966669797897339,1.3266669511795044,12190500,100.0,1.1499592016261886,0.5955143242748449,0.42213671344499915,30.588162902095917,46.11884020814264,42.1711987857109,39.147383530132565,41.08821605300679,38.21989365410403,36.079137803295545,38.99372519162092,45.65828084315205,45.15240712236283,36.919572919721155,44.85150113502655,48.66361655550807,48.89907928781459,55.7936918703951,59.31337224923155,,,0
